year,show,ethnicity,actors,theater,type,non-profit
2010-2011,Rain,Latino,0,,Musical,
2010-2011,Rain,Other,0,,Musical,
2010-2011,Sister Act,African American,9,,Musical,
2010-2011,Sister Act,Asian American,0,,Musical,
2010-2011,Sister Act,Caucasian,21,,Musical,
2010-2011,Sister Act,Latino,2,,Musical,
2010-2011,Sister Act,Other,0,,Musical,
2010-2011,That Championship Season,African American,0,,Play,
2010-2011,That Championship Season,Asian American,0,,Play,
2010-2011,That Championship Season,Caucasian,8,,Play,
2010-2011,That Championship Season,Latino,0,,Play,
2010-2011,That Championship Season,Other,0,,Play,
2010-2011,The Book of Mormon,African American,13,,Musical,
2010-2011,The Book of Mormon,Asian American,0,,Musical,
2010-2011,The Book of Mormon,Caucasian,14,,Musical,
2010-2011,The Book of Mormon,Latino,0,,Musical,
2010-2011,The Book of Mormon,Other,0,,Musical,
2010-2011,The House of Blue Leaves,African American,0,,Play,
2010-2011,The House of Blue Leaves,Asian American,0,,Play,
2010-2011,The House of Blue Leaves,Caucasian,14,,Play,
2010-2011,The House of Blue Leaves,Latino,0,,Play,
2010-2011,The House of Blue Leaves,Other,0,,Play,
2010-2011,The Importance of Being Earnest,African American,0,,Play,
2010-2011,The Importance of Being Earnest,Asian American,0,,Play,
2010-2011,The Importance of Being Earnest,Caucasian,13,,Play,
2010-2011,The Importance of Being Earnest,Latino,0,,Play,
2010-2011,The Importance of Being Earnest,Other,0,,Play,
2010-2011,The Merchant of Venice,African American,6,,Play,
2010-2011,The Merchant of Venice,Asian American,0,,Play,
2010-2011,The Merchant of Venice,Caucasian,25,,Play,
2010-2011,The Merchant of Venice,Latino,0,,Play,
2010-2011,The Merchant of Venice,Other,0,,Play,
2010-2011,The Motherfucker with the Hat,African American,2,,Play,
2010-2011,The Motherfucker with the Hat,Asian American,0,,Play,
2010-2011,The Motherfucker with the Hat,Caucasian,1,,Play,
2010-2011,The Motherfucker with the Hat,Latino,4,,Play,
2010-2011,The Motherfucker with the Hat,Other,0,,Play,
2010-2011,The Normal Heart,African American,0,,Play,
2010-2011,The Normal Heart,Asian American,0,,Play,
2010-2011,The Normal Heart,Caucasian,13,,Play,
2010-2011,The Normal Heart,Latino,0,,Play,
