time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-09-20T02:08:11.902Z,59.8156,-136.5615,0,2.5,ml,,,,0.69,ak,ak16863055,2017-09-20T02:23:39.540Z,"80km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-09-20T01:56:23.300Z,37.4306,-2.1386,7.84,2.8,ml,,175,0.917,0.36,us,us2000arfq,2017-09-20T08:23:31.711Z,"4km NNE of Albox, Spain",earthquake,5.5,8.9,0.091,16,reviewed,us,us
2017-09-20T01:43:30.060Z,-50.371,162.5497,10,6.1,mww,,88,8.452,0.77,us,us2000arel,2017-09-20T04:00:35.040Z,"256km W of Auckland Island, New Zealand",earthquake,10.6,1.9,0.073,18,reviewed,us,us
2017-09-20T01:37:29.116Z,61.0118,-152.2667,8.8,2.1,ml,,,,0.69,ak,ak16862483,2017-09-20T01:41:11.517Z,"64km NW of Nikiski, Alaska",earthquake,,0.1,,,automatic,ak,ak
2017-09-20T01:21:07.200Z,36.0193329,-120.591835,2.83,1.53,md,22,106,0.04057,0.12,nc,nc72895486,2017-09-20T05:20:03.975Z,"24km WSW of Coalinga, California",earthquake,0.36,0.82,0.22,11,automatic,nc,nc
2017-09-20T01:20:18.850Z,36.0233345,-120.5826645,1.62,0.7,md,9,123,0.03984,0.05,nc,nc72895476,2017-09-20T01:35:03.371Z,"23km WSW of Coalinga, California",earthquake,0.39,1.95,0.05,2,automatic,nc,nc
2017-09-20T01:14:27.740Z,37.1662,-117.2548,2.2,0.6,ml,7,175.68,0.131,,nn,nn00606020,2017-09-20T01:16:06.478Z,"52km WNW of Beatty, Nevada",earthquake,,,,,automatic,nn,nn
2017-09-20T01:08:19.470Z,33.5008333,-116.7968333,5.29,0.77,ml,28,35,0.08136,0.19,ci,ci38006672,2017-09-20T13:51:11.855Z,"9km NE of Aguanga, CA",earthquake,0.24,1.36,0.136,21,reviewed,ci,ci
2017-09-20T00:44:54.720Z,-3.9011,141.5342,61.96,4.5,mb,,113,9.32,1.01,us,us2000are4,2017-09-20T10:17:09.949Z,"123km SW of Aitape, Papua New Guinea",earthquake,12.5,8.9,0.118,21,reviewed,us,us
2017-09-20T00:35:31.260Z,37.2901649,-121.6661682,3.1,1.62,md,10,78,0.05472,0.05,nc,nc72895456,2017-09-20T05:03:03.920Z,"15km E of Seven Trees, California",earthquake,0.27,1.12,0.24,10,automatic,nc,nc
2017-09-20T00:34:30.800Z,37.622,-118.8408333,3.47,0.55,md,9,237,0.009015,0.05,nc,nc72895461,2017-09-20T03:26:03.656Z,"11km ESE of Mammoth Lakes, California",earthquake,1,0.78,0.14,7,reviewed,nc,nc
